repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional
Aspose.BarCode-for-Java,41,1121,1162,0,0,36,1,0,0,4,0,0,0,0,0,0,0,0,4,3,1051,0,4,53,5,0,1
Aspose.Cells-for-Java,307,2133,2440,0,0,257,14,0,0,4,0,0,2,0,0,0,0,5,21,6,1886,0,8,173,12,16,6
Aspose.Diagram-for-Java,26,320,346,0,0,12,4,0,0,1,0,0,0,0,0,0,0,0,1,1,259,0,5,50,4,0,0
Aspose.Email-for-Java,180,670,850,0,0,113,49,0,0,1,0,0,0,0,0,0,0,1,4,3,430,0,12,207,7,2,4
Aspose.HTML-for-Java,156,358,514,0,0,144,5,0,0,1,0,0,4,0,0,0,0,0,1,1,283,0,2,71,0,0,0
Aspose.PDF-for-Java,253,840,1093,0,0,172,12,0,0,3,1,0,0,0,0,0,0,2,6,4,634,0,12,162,11,0,9
Aspose.Slides-for-Java,593,2792,3385,0,0,540,16,0,0,4,0,0,0,0,0,0,0,3,13,4,2367,0,15,372,11,0,7
Aspose.Tasks-for-Java,137,625,762,0,0,109,10,0,0,1,0,0,0,0,0,0,0,1,5,3,465,0,6,135,9,0,1
Aspose.Words-for-Java,1136,11957,13093,0,0,630,155,0,15,90,0,0,203,6,0,3,0,3,56,73,8500,0,12,3134,61,90,28
Code_Along_with_GZM__JAVA,5,8,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
CodingJava,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Commerce-API-Java,7,31,38,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,26,0,0,1
Core-Java,432,1822,2254,0,0,396,5,2,0,0,0,0,2,0,2,0,0,0,9,13,1663,0,8,120,1,2,6
Core-Java---Madhura-Anturkar,402,861,1263,0,0,359,21,0,0,0,0,0,11,0,0,0,0,0,12,21,744,0,0,84,0,0,0
Core-Java-Tutorial-Projects,1,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
